"","x"
"1175",5
"1176",2
"1177",7
"1178",1
"1179",8
"1180",4
"1181",3
"1182",14
"1183",15
"1184",8
"1185",4
"1186",1
"1187",4
"1188",2
"1189",5
"1190",6
"1191",15
"1192",5
"1193",6
"1194",14
"1195",2
"1196",1
"1197",3
"1198",1
"1199",6
"1200",7
"1201",1
"1202",6
"1203",12
"1204",14
"1205",10
"1206",13
"1207",13
"1208",16
"1209",2
"1210",16
"1211",2
"1212",16
"1213",7
"1214",4
"1215",20
"1216",12
"1217",6
"1218",4
"1219",6
"1220",13
"1221",17
"1222",3
"1223",7
"1224",10
"1225",2
"1226",2
"1227",19
"1228",3
"1229",6
"1230",5
"1231",4
"1232",3
"1233",4
"1234",5
"1235",17
"1236",4
"1237",12
"1238",5
"1239",23
"1240",6
"1241",10
"1242",9
"1243",4
"1244",16
"1245",7
"1246",4
"1247",1
"1248",18
"1249",3
"1250",3
"1251",4
"1252",6
"1253",3
"1254",8
"1255",3
"1256",2
"1257",8
"1258",14
"1259",14
"1260",16
"1261",7
"1262",15
"1263",9
"1264",13
"1265",16
"1266",10
"1267",2
"1268",11
"1269",8
"1270",14
"1271",10
"1272",3
"1273",4
"1274",2
"1275",2
"1276",6
"1277",1
"1278",1
"1279",6
"1280",2
"1281",29
"1282",9
"1283",2
"1284",2
"1285",9
"1286",12
"1287",3
"1288",8
"1289",4
"1290",15
"1291",16
"1292",13
"1293",11
"1294",1
"1295",3
"1296",8
"1297",2
"1298",2
"1299",6
"1300",5
"1301",2
"1302",1
"1303",13
"1304",2
"1305",1
"1306",2
"1307",5
"1308",4
"1309",4
"1310",4
"1311",9
"1312",7
"1313",2
"1314",4
"1315",2
"1316",3
"1317",17
"1318",7
"1319",2
"1320",12
"1321",4
"1322",7
"1323",0
"1324",5
"1325",2
"1326",14
"1327",3
"1328",23
"1329",2
"1330",2
"1331",6
"1332",2
"1333",3
"1334",1
"1335",1
"1336",5
"1337",4
"1338",4
"1339",9
"1340",4
"1341",3
"1342",7
"1343",3
"1344",3
"1345",9
"1346",4
"1347",2
"1348",7
"1349",2
"1350",4
"1351",12
"1352",1
"1353",2
"1354",6
"1355",7
"1356",1
"1357",16
"1358",6
"1359",2
"1360",5
"1361",2
"1362",1
"1363",3
"1364",5
"1365",7
"1366",4
"1367",5
"1368",4
"1369",8
"1370",3
"1371",8
"1372",10
"1373",7
"1374",4
"1375",10
"1376",6
"1377",2
"1378",8
"1379",4
"1380",5
"1381",2
"1382",9
"1383",5
"1384",8
"1385",13
"1386",15
"1387",6
"1388",7
"1389",4
"1390",4
"1391",1
"1392",19
"1393",4
"1394",3
"1395",9
"1396",0
"1397",8
"1398",15
"1399",5
"1400",2
"1401",2
"1402",3
"1403",12
"1404",15
"1405",21
"1406",2
"1407",8
"1408",8
"1409",23
"1410",3
"1411",5
"1412",3
"1413",5
"1414",13
"1415",3
"1416",6
"1417",1
"1418",11
"1419",8
"1420",2
"1421",1
"1422",25
"1423",27
"1424",17
"1425",5
"1426",3
"1427",21
"1428",2
"1429",9
"1430",3
"1431",5
"1432",3
"1433",4
"1434",3
"1435",9
"1436",15
"1437",6
"1438",12
"1439",15
"1440",8
"1441",6
"1442",2
"1443",6
"1444",4
"1445",15
"1446",11
"1447",8
"1448",5
"1449",23
"1450",5
"1451",4
"1452",5
"1453",15
"1454",12
"1455",4
"1456",5
"1457",14
"1458",14
"1459",5
"1460",4
"1461",16
"1462",21
"1463",2
"1464",20
"1465",13
"1466",7
"1467",20
"1468",11
"1469",9
"1470",22
"1471",14
"1472",7
"1473",18
"1474",5
"1475",14
"1476",10
"1477",7
"1478",20
"1479",3
"1480",4
"1481",5
"1482",25
"1483",8
"1484",2
"1485",12
"1486",9
"1487",17
"1488",10
"1489",13
"1490",7
"1491",11
"1492",8
"1493",3
"1494",8
"1495",3
"1496",7
"1497",11
"1498",5
"1499",12
"1500",12
"1501",16
"1502",7
"1503",2
"1504",4
"1505",13
"1506",31
"1507",13
"1508",19
"1509",14
"1510",7
"1511",23
"1512",7
"1513",28
"1514",25
"1515",18
"1516",4
"1517",14
"1518",20
"1519",4
"1520",22
"1521",1
"1522",14
"1523",9
"1524",7
"1525",4
"1526",23
"1527",8
"1528",13
"1529",7
"1530",10
"1531",16
"1532",7
"1533",11
"1534",20
"1535",3
"1536",4
"1537",23
"1538",31
"1539",18
"1540",10
"1541",1
"1542",19
"1543",8
"1544",5
"1545",15
"1546",18
"1547",15
"1548",7
"1549",3
"1550",20
"1551",3
"1552",15
"1553",3
"1554",11
"1555",11
"1556",28
"1557",4
"1558",21
"1559",5
"1560",16
"1561",10
"1562",32
"1563",22
"1564",38
"1565",17
"1566",13
"1567",8
"1568",21
"1569",21
"1570",20
"1571",23
"1572",16
"1573",5
"1574",6
"1575",13
"1576",7
"1577",9
"1578",9
"1579",12
"1580",15
"1581",9
"1582",9
"1583",3
"1584",14
"1585",21
"1586",15
"1587",10
"1588",8
"1589",6
"1590",11
"1591",7
"1592",4
"1593",9
"1594",13
"1595",4
"1596",17
"1597",10
"1598",5
"1599",13
"1600",3
"1601",28
"1602",16
"1603",29
"1604",6
"1605",6
"1606",7
"1607",6
"1608",10
"1609",11
"1610",9
"1611",10
"1612",8
"1613",14
"1614",6
"1615",14
"1616",27
"1617",21
"1618",6
"1619",21
"1620",3
"1621",21
"1622",1
"1623",20
"1624",16
"1625",9
"1626",20
"1627",19
"1628",21
"1629",7
"1630",17
"1631",14
"1632",9
"1633",4
"1634",5
"1635",18
"1636",12
"1637",25
"1638",12
"1639",6
"1640",22
"1641",11
"1642",16
"1643",14
"1644",21
"1645",28
"1646",9
"1647",23
"1648",20
"1649",30
"1650",24
"1651",13
"1652",13
"1653",17
"1654",9
"1655",21
"1656",7
"1657",2
"1658",21
"1659",19
"1660",14
"1661",15
"1662",11
"1663",14
"1664",7
"1665",6
"1666",31
"1667",3
"1668",7
"1669",3
"1670",2
"1671",11
"1672",6
"1673",4
"1674",5
"1675",1
"1676",3
"1677",7
"1678",6
"1679",16
"1680",16
"1681",21
"1682",5
"1683",10
"1684",7
"1685",6
"1686",4
"1687",4
"1688",5
"1689",6
"1690",7
"1691",15
"1692",3
"1693",4
"1694",22
"1695",6
"1696",5
"1697",11
"1698",6
"1699",10
"1700",1
"1701",11
"1702",9
"1703",16
"1704",5
"1705",24
"1706",19
"1707",13
"1708",7
"1709",4
"1710",9
"1711",24
"1712",5
"1713",19
"1714",22
"1715",19
"1716",11
"1717",9
"1718",4
"1719",9
"1720",5
"1721",9
"1722",17
"1723",17
"1724",15
"1725",20
"1726",1
"1727",4
"1728",7
"1729",2
"1730",13
"1731",10
"1732",0
"1733",22
"1734",9
"1735",12
"1736",16
"1737",3
"1738",5
"1739",15
"1740",6
"1741",13
"1742",32
"1743",4
"1744",5
"1745",17
"1746",7
"1747",18
"1748",5
"1749",16
"1750",6
"1751",13
"1752",11
"1753",11
"1754",13
"1755",7
"1756",4
"1757",13
"1758",14
"1759",22
"1760",13
"1761",10
"1762",14
"1763",14
"1764",33
"1765",7
"1766",16
"1767",3
"1768",4
"1769",9
"1770",5
"1771",8
"1772",10
"1773",7
"1774",3
"1775",21
"1776",8
"1777",15
"1778",9
"1779",4
"1780",4
"1781",8
"1782",9
"1783",8
"1784",14
"1785",21
"1786",19
"1787",6
"1788",4
"1789",5
"1790",6
"1791",7
"1792",19
"1793",8
"1794",14
"1795",10
